data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles,source_file,is_standardized
Trie,50000,1000,25451266,7333942,0.29,1264736,1947882,430459,439789,34237,12.5,3189643.0,197696.0,deep_scaling_results_1776339155.csv,True
Trie,75000,1000,35557753,10125960,0.28,1727397,2898300,610029,611759,49244,11.8,4412748.0,273505.0,deep_scaling_results_1776339155.csv,True
Trie,100000,200,44207353,13085160,0.3,2294352,3750925,813666,804964,64535,4.4,1975513.0,273792.0,deep_scaling_results_1776339155.csv,True
Trie,250000,200,109577569,31035381,0.28,5619952,8886972,1933985,1560009,201800,3.0,3229800.0,447627.0,deep_scaling_results_1776339155.csv,True
Trie,500000,200,211519663,56572793,0.27,10607028,16277743,2924369,3674731,397398,2.8,6036778.0,836655.0,deep_scaling_results_1776339155.csv,True
Trie,750000,200,311537630,80144680,0.26,15297483,23133683,5259637,5339592,476153,3.0,9474612.0,1313114.0,deep_scaling_results_1776339155.csv,True
Trie,1000000,20,412225653,103527103,0.25,19937062,29948783,6859310,7024418,632196,3.7,15414828.0,6755846.0,deep_scaling_results_1776339155.csv,True
Trie,2500000,20,1054735926,240210925,0.23,49325541,69739278,15928689,17588381,1570254,2.9,31099609.0,13630004.0,deep_scaling_results_1776339155.csv,True
Trie,5000000,20,2052888416,394120781,0.19,89591093,114971274,27058890,32316142,3095724,1.5,30827656.0,13510816.0,deep_scaling_results_1776339155.csv,True
Trie,7500000,20,2992880210,545212040,0.18,130310170,159446828,36997439,46379483,4617360,0.8,23764517.0,10415259.0,deep_scaling_results_1776339155.csv,True
Trie,10000000,3,3926944957,696461679,0.18,171280364,203980227,46220503,60461739,6136743,0.3,11464495.0,12973297.0,deep_scaling_results_1776339155.csv,True
vEBTree,1000,1000,6563,7456,1.14,0,1101,11,14,0,56.6,2755.0,171.0,deep_scaling_results_1776339155.csv,True
vEBTree,2500,1000,14590,17956,1.23,0,2601,11,54,0,80.4,6888.0,427.0,deep_scaling_results_1776339155.csv,True
vEBTree,5000,1000,28155,35456,1.26,0,5101,13,163,0,52.3,11531.0,715.0,deep_scaling_results_1776339155.csv,True
vEBTree,7500,1000,1500,52956,35.3,0,7601,13,434,0,102.2,20295.0,1258.0,deep_scaling_results_1776339155.csv,True
vEBTree,10000,1000,55216,70456,1.28,1,10101,13,633,0,66.1,25356.0,1572.0,deep_scaling_results_1776339155.csv,True
vEBTree,25000,1000,129107,175456,1.36,6,25101,12,1571,0,97.6,67735.0,4198.0,deep_scaling_results_1776339155.csv,True
vEBTree,50000,1000,267417,350456,1.31,27,50101,14,3135,0,85.5,132240.0,8196.0,deep_scaling_results_1776339155.csv,True
vEBTree,75000,1000,406702,525456,1.29,4,75101,13,4696,0,83.0,196934.0,12206.0,deep_scaling_results_1776339155.csv,True
vEBTree,100000,200,541675,700456,1.29,0,100101,12,6259,0,86.6,263835.0,36566.0,deep_scaling_results_1776339155.csv,True
vEBTree,250000,200,1297120,1750456,1.35,22,250101,13,15635,0,83.8,640932.0,88829.0,deep_scaling_results_1776339155.csv,True
vEBTree,500000,200,2018117,3500457,1.73,31377,500102,17,31267,19,77.1,1221834.0,169338.0,deep_scaling_results_1776339155.csv,True
vEBTree,750000,200,2656844,5250457,1.98,2313,750075,13,34495,0,73.3,1701784.0,235855.0,deep_scaling_results_1776339155.csv,True
vEBTree,1000000,20,2925623,5441141,1.86,6788,901987,13,53639,0,73.8,2149272.0,941960.0,deep_scaling_results_1776339155.csv,True
vEBTree,2500000,20,7714616,11720795,1.52,159581,1663968,14,100099,1237,29.5,2367838.0,1037751.0,deep_scaling_results_1776339155.csv,True
vEBTree,5000000,20,15903927,25832769,1.62,357523,3665444,13,228413,2786,17.3,2776941.0,1217048.0,deep_scaling_results_1776339155.csv,True
vEBTree,7500000,20,23825706,37687964,1.58,531469,5397432,21,339328,4144,3.4,805964.0,353229.0,deep_scaling_results_1776339155.csv,True
vEBTree,10000000,3,31597316,49412420,1.56,696286,7060840,9,459853,5667,1.3,425820.0,481861.0,deep_scaling_results_1776339155.csv,True
