data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles
Array,3178,1000,18733,22702,1.21,9,3279,12,95,0,67.4,9695,601
Array,3184,1000,18667,22744,1.22,4,3285,11,90,0,62.0,9366,581
Array,3188,1000,18689,22772,1.22,4,3289,12,87,0,52.5,8438,523
Array,3196,1000,18653,22828,1.22,16,3297,12,79,0,84.0,10919,677
Array,3203,1000,18910,22877,1.21,24,3304,12,210,0,80.8,10421,646
Array,3207,1000,19436,22905,1.18,34,3308,11,209,0,65.8,10635,659
Array,3216,1000,19087,22968,1.20,4,3317,12,84,0,53.9,8743,542
Array,3220,1000,19119,22996,1.20,13,3321,12,85,0,55.7,8865,549
Array,3225,1000,18567,23031,1.24,6,3326,12,87,0,81.9,10440,647
Array,3232,1000,19187,23080,1.20,5,3333,12,88,0,63.6,10101,626
Array,3237,1000,19015,23115,1.22,6,3338,12,84,0,69.7,10575,655
Array,3244,1000,18795,23164,1.23,9,3345,11,57,0,78.1,10310,639
Array,3251,1000,18927,23213,1.23,3,3352,12,83,0,65.8,9789,607
Array,3257,1000,19212,23255,1.21,7,3358,10,88,0,59.3,8963,556
Array,3263,1000,19221,23297,1.21,7,3364,11,76,0,67.1,10023,621
Array,3268,1000,19158,23332,1.22,4,3369,11,78,0,58.4,9478,587
Array,3272,1000,18813,23360,1.24,11,3373,12,87,0,82.1,9550,592
Array,3281,1000,19265,23423,1.22,7,3382,11,97,0,68.7,10327,640
Array,3285,1000,19176,23451,1.22,12,3386,11,66,0,69.5,10143,629
Array,3291,1000,19179,23493,1.22,9,3392,11,146,0,76.9,10544,653
Array,3299,1000,19358,23549,1.22,3,3400,11,88,0,58.8,9520,590
Array,3306,1000,19005,23598,1.24,9,3407,11,87,0,76.4,9957,617
Array,3310,1000,19645,23626,1.20,16,3411,12,82,0,63.2,9979,618
Array,3314,1000,19386,23654,1.22,7,3415,12,81,0,85.8,11376,705
Array,3321,1000,1748,23703,13.56,2,3422,12,87,0,97.5,11515,714
Array,3326,1000,19139,23738,1.24,4,3427,11,94,0,77.6,10253,636
Array,3334,1000,19486,23794,1.22,7,3435,12,89,0,77.6,10560,654
Array,3340,1000,19121,23836,1.25,7,3441,12,96,0,88.4,10538,653
Array,3346,1000,19493,23878,1.22,5,3447,12,92,0,76.2,10594,657
Array,3352,1000,19661,23920,1.22,4,3453,12,80,0,70.2,10662,661
Array,3360,1000,19290,23976,1.24,3,3461,12,98,0,80.1,11210,695
Array,3364,1000,19642,24004,1.22,6,3465,12,84,0,76.0,11084,687
Array,3368,1000,19597,24032,1.23,12,3469,11,95,0,76.1,10547,654
Array,3375,1000,19619,24081,1.23,5,3476,11,63,0,76.5,10375,643
Array,3380,1000,19579,24116,1.23,8,3481,12,98,0,82.5,10852,673
Array,3388,1000,19769,24172,1.22,33,3489,12,114,0,83.4,10889,675
Array,3393,1000,19745,24207,1.23,9,3494,12,90,0,70.1,10426,646
Array,3400,1000,19832,24256,1.22,6,3501,12,99,0,77.6,10686,662
Array,3406,1000,19423,24298,1.25,7,3507,12,2,0,88.3,10509,651
Array,3414,1000,19753,24354,1.23,2,3515,12,99,0,78.8,10003,620
Array,3420,1000,19933,24396,1.22,16,3521,11,94,0,79.6,11429,708
Array,3426,1000,19544,24438,1.25,6,3527,12,102,0,85.6,9646,598
Array,3430,1000,20127,24466,1.22,7,3531,12,83,0,62.9,10505,651
Array,3438,1000,19898,24522,1.23,5,3539,12,93,0,83.9,11227,696
Array,3444,1000,20008,24564,1.23,10,3545,11,91,0,63.8,10370,643
Array,3450,1000,19764,24606,1.24,5,3551,12,97,0,83.9,11941,740
Array,3453,1000,1793,24627,13.74,4,3554,11,97,0,101.7,11609,720
Array,3460,1000,19887,24676,1.24,11,3561,12,80,0,81.8,11526,714
Array,3468,1000,19877,24732,1.24,3,3569,10,91,0,75.3,11311,701
Array,3471,1000,19894,24753,1.24,5,3572,12,98,0,84.8,11008,682
Array,3480,1000,20178,24816,1.23,6,3581,12,106,0,74.4,10022,621
Array,3482,1000,20315,24830,1.22,4,3583,11,70,0,64.6,10875,674
Array,3490,1000,20346,24886,1.22,4,3591,12,88,0,62.7,10335,641
Array,3496,1000,20382,24928,1.22,4,3597,12,86,0,67.4,10815,670
Array,3500,1000,20420,24956,1.22,5,3601,12,103,0,83.1,11760,729
Array,3506,1000,20412,24998,1.22,4,3607,12,91,0,58.7,10027,621
Array,3515,1000,20203,25061,1.24,4,3616,13,100,0,74.8,11313,701
Array,3518,1000,19959,25082,1.26,5,3619,11,97,0,95.8,12162,754
Array,3525,1000,20623,25131,1.22,5,3626,12,100,0,63.9,10638,659
Array,3534,1000,20240,25194,1.24,3,3635,12,103,0,74.7,11426,708
Array,3536,1000,20943,25208,1.20,22,3637,12,111,0,71.1,11473,711
Array,3545,1000,20216,25271,1.25,3,3646,11,103,0,88.6,11498,713
Array,3548,1000,20455,25292,1.24,3,3649,12,101,0,74.4,11443,709
Array,3557,1000,20458,25355,1.24,3,3658,12,103,0,87.8,11474,711
Array,3564,1000,21027,25404,1.21,15,3665,12,103,0,70.8,11419,708
Array,3570,1000,20992,25446,1.21,8,3671,12,103,0,58.2,9929,615
Array,3574,1000,20620,25474,1.24,2,3675,11,97,0,86.9,10897,675
Array,3580,1000,20581,25516,1.24,7,3681,11,100,0,71.6,10950,679
Array,3588,1000,20753,25572,1.23,4,3689,12,103,0,71.0,10702,663
Array,3592,1000,20822,25600,1.23,7,3693,13,103,0,57.1,10006,620
Array,3597,1000,20791,25635,1.23,10,3698,12,107,0,79.7,11664,723
Array,3604,1000,20709,25684,1.24,7,3705,12,106,0,80.7,11804,732
Array,3608,1000,21053,25712,1.22,2,3709,12,72,0,57.8,10352,642
Array,3615,1000,20948,25761,1.23,7,3716,12,101,0,74.5,11978,742
Array,3620,1000,20727,25796,1.24,7,3721,12,146,0,85.9,11484,712
Array,3628,1000,20942,25852,1.23,5,3729,12,103,0,66.6,10790,669
Array,3632,1000,20722,25880,1.25,3,3733,11,100,0,83.5,11324,702
Array,3638,1000,20826,25922,1.24,2,3739,13,112,0,70.8,10954,679
Array,3645,1000,20825,25971,1.25,7,3746,11,108,0,89.2,11108,688
Array,3652,1000,20925,26020,1.24,5,3753,10,108,0,75.5,11332,702
Array,3656,1000,20952,26048,1.24,12,3757,12,106,0,83.2,12731,789
Array,3663,1000,21006,26097,1.24,10,3764,11,111,0,87.4,12483,774
Array,3670,1000,21063,26146,1.24,3,3771,12,99,0,83.0,11980,743
Array,3677,1000,21271,26195,1.23,3,3778,12,108,0,79.3,11948,741
Array,3680,1000,21078,26216,1.24,16,3781,12,108,0,79.1,11977,742
Array,3686,1000,22168,26258,1.18,13,3787,11,120,0,62.4,11739,728
Array,3696,1000,21135,26328,1.25,2,3797,12,106,0,89.9,12008,744
Array,3698,1000,21059,26342,1.25,3,3799,12,102,0,89.9,11687,724
Array,3706,1000,21334,26398,1.24,2,3807,12,111,0,87.5,11746,728
Array,3712,1000,21537,26440,1.23,4,3813,12,92,0,77.4,12183,755
Array,3718,1000,21399,26482,1.24,4,3819,12,108,0,74.9,11236,696
Array,3722,1000,3639,26510,7.28,1,3823,13,107,0,93.2,11270,699
Array,3731,1000,21580,26573,1.23,8,3832,12,102,0,63.2,10559,654
Array,3736,1000,21768,26608,1.22,23,3837,12,119,0,76.6,11624,720
Array,3740,1000,22002,26636,1.21,18,3841,12,110,0,70.4,12447,771
