data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Vector,4644,297,11200888,9777669,0.87,77174,1624865,12503,95760,443
Vector,8154,292,14744705,17253841,1.17,50364,2565694,11024,169936,196
Vector,10712,309,20237727,23841907,1.18,62971,3501842,10770,225503,327
Vector,23295,314,42791621,52152829,1.22,93283,7631399,13940,494739,998
Vector,47692,276,75768429,94272288,1.24,191982,13584182,21609,883343,3181
Vector,69708,298,119790336,148445296,1.24,563219,21218905,22673,1367459,4345
Vector,90208,327,169225211,210189451,1.24,943748,30139678,22435,1941206,2433
Vector,256547,295,430402406,539127775,1.25,4741708,77466089,44307,4936762,18331
Vector,459618,328,851173751,1070488166,1.26,10228246,153720824,50471,9752184,34261
Vector,684579,295,1150790999,1436053388,1.25,16792144,206253669,79360,13115328,77236
Vector,913723,272,1414829296,1768888823,1.25,22792832,253677790,98519,16108525,82212
Vector,2263049,26,367734581,455289448,1.24,6553310,66313458,35246,4215469,65127
Vector,4500140,30,817495902,1027970330,1.26,14720405,149574091,65284,9343579,147386
Vector,6773526,32,1311911226,1639460728,1.25,23493001,239329475,95176,14952817,239354
Vector,10000000,3,287779515,383974138,1.33,5022127,59532273,38963,3397106,51452
Deque,937,303,2323867,4559844,1.96,24899,449080,7410,7060,<notcounted>
Deque,2415,281,4134347,9551825,2.31,25889,855575,7424,4225,<notcounted>
Deque,4644,273,8159238,15662854,1.92,48115,1472775,7451,51726,155
Deque,8154,306,14919365,32228830,2.16,50807,2759175,10419,114252,337
Deque,10712,315,21329237,44116484,2.07,81698,3553556,11006,240509,868
Deque,23295,322,43554408,99210579,2.28,77032,7653025,11824,515739,574
Deque,47692,319,91032743,190690736,2.09,335405,15227423,22699,1119511,1732
Deque,69708,308,120324458,273455672,2.27,499231,21666273,26557,1522652,2287
Deque,90208,303,144227035,355803688,2.47,646083,29521854,23358,1794425,2459
Deque,256547,326,495756066,1117278628,2.25,5734923,83798375,72254,5652915,23332
Deque,459618,271,684211623,1628375774,2.38,9445917,134241353,72970,8222247,45686
Deque,684579,286,1061847254,2697088042,2.54,17431990,199098239,128162,12794553,70849
Deque,913723,289,1401119482,3475584625,2.48,26378302,268979090,113167,17423173,123753
Deque,2263049,32,426877414,1022282856,2.39,8197507,79735780,44440,5174881,83804
Deque,4500140,34,856716932,2101258188,2.45,17301485,172855807,82276,11059067,165255
Deque,6773526,33,1232770757,3075494898,2.49,24773793,247280327,80002,16046642,242837
Deque,10000000,2,269650476,527649456,1.96,5403171,54205549,48687,3406602,58724
Heap,937,292,3209574,2883726,0.90,23640,451094,8131,8138,<notcounted>
Heap,2415,277,3367357,5844899,1.74,32027,859625,7822,15786,200
Heap,4644,310,10242424,10298717,1.01,58673,1798177,11284,15228,188
Heap,8154,275,14754320,16295864,1.10,45196,2554797,13749,27117,125
Heap,10712,280,19857527,21132825,1.06,54263,3604797,15060,205993,383
Heap,23295,308,45536471,50573698,1.11,94194,7935420,23170,494519,488
Heap,47692,299,89868247,105650602,1.18,142155,15735644,40246,927579,2186
Heap,69708,327,141630609,159932954,1.13,228275,24151789,48435,1569508,2165
Heap,90208,302,168867744,206647431,1.22,220546,28893253,61731,1752200,1476
Heap,256547,299,482758405,560869568,1.16,4881203,83623336,149101,5000360,35604
Heap,459618,311,888920775,999644282,1.12,7530153,157346379,182358,9334106,17060
Heap,684579,277,1188972647,1403969907,1.18,14880960,193203518,316035,12462051,83677
Heap,913723,325,1889451276,2173256647,1.15,27659081,304427839,435121,19677697,162193
Heap,2263049,34,550084243,671277256,1.22,8915585,98623517,608631,5479168,82168
Heap,4500140,34,1015898413,1275780268,1.26,16939666,194147300,1222873,10830178,170365
Heap,6773526,30,1496420361,1725397068,1.15,23347926,262807102,1950893,15203848,248410
Heap,10000000,3,548374215,674433824,1.23,6486219,113499938,2637839,4858958,66491
HashMap,937,327,4362764,3788436,0.87,32969,1510047,13651,42810,<notcounted>
HashMap,2415,323,18012191,20002564,1.11,70760,5854145,64983,508744,386
HashMap,4644,273,33597887,30054484,0.89,73569,9891577,142178,929054,615
HashMap,8154,310,22482177,44647729,1.99,59206,10611824,77069,981888,458
HashMap,10712,299,33825208,72446265,2.14,67513,19743274,64766,1882946,299
HashMap,23295,281,96817240,139916048,1.45,232092,37479193,329388,3524606,1360
HashMap,47692,295,186751202,290900417,1.56,1822458,76876915,269648,7590425,3187
HashMap,69708,284,458889497,549142612,1.20,17286230,146462720,1438419,14589436,57575
HashMap,90208,301,404957497,599592941,1.48,11666692,161153114,1693925,14957657,46238
HashMap,256547,309,766886046,1347596819,1.76,34506359,324615885,2869939,30507923,295409
HashMap,459618,296,1449903785,2476979274,1.71,79759906,634445195,4916342,59044676,1262210
HashMap,684579,325,3473339665,4981507666,1.43,180900749,1429594758,8830833,130874037,2514075
HashMap,913723,328,2863169032,5404167238,1.89,179784829,1389512487,10664813,131939095,2615493
HashMap,2263049,33,1380476341,2193252197,1.59,80558621,595615067,3444343,59552637,2599566
HashMap,4500140,27,2566660569,3671552091,1.43,136131144,994331168,2872357,99570991,4943787
HashMap,6773526,25,2862857307,3696599348,1.29,143744764,930837358,11570605,99242450,6335661
HashMap,10000000,2,1603941808,1403396424,0.87,61034033,305758092,1570054,45747703,8146806
RBTree,937,309,3527889,3294475,0.93,27993,852075,10771,162956,<notcounted>
RBTree,2415,323,8836472,9465543,1.07,51127,2063049,21185,1594523,149
RBTree,4644,321,17447452,19007458,1.09,41907,3806243,40615,2977037,147
RBTree,8154,309,52820260,30835636,0.58,78276,6617621,78117,4350976,844
RBTree,10712,302,78448155,39454876,0.50,146841,8750090,103948,5372340,1649
RBTree,23295,303,160163153,93316031,0.58,203880,19155715,214145,11623149,3747
RBTree,47692,293,434646949,190884948,0.44,1133403,38939164,554594,23051604,16463
RBTree,69708,314,733976808,308577498,0.42,6023888,61181478,820620,35876650,32263
RBTree,90208,275,1267137469,381849368,0.30,36685226,74173690,1177598,42814798,177184
